province,year,type,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
MondulKiri,"2,014",cases,0,0,0,0,0,0,0,0,0,0,1,0
Phnom Penh,"2,014",cases,17,12,17,32,40,44,33,53,45,51,40,39
PreahVihear,"2,014",cases,0,0,2,2,7,4,4,8,7,3,1,2
PreyVeng,"2,014",cases,13,1,11,18,31,25,35,30,21,20,19,16
Pursat,"2,014",cases,1,0,1,0,0,1,0,0,3,0,1,0
RattanaKiri,"2,014",cases,0,0,0,0,0,0,1,1,1,2,0,0
Siem Reap,"2,014",cases,21,19,15,18,64,85,122,149,85,77,66,33
K.Pr.Sihaknouk,"2,014",cases,3,1,1,0,0,4,2,8,0,1,2,0
StungTreng,"2,014",cases,0,0,0,0,0,0,3,0,0,0,1,0
SvayRieng,"2,014",cases,0,1,2,2,4,2,0,3,1,1,0,1
Takeo,"2,014",cases,2,1,2,5,14,33,32,38,28,33,18,2
O.Meanchey,"2,014",cases,0,0,0,1,0,4,5,2,5,1,5,0
Kep,"2,014",cases,0,0,0,0,2,0,3,0,0,0,0,0
Paillin,"2,014",cases,0,0,0,0,0,2,4,2,5,3,1,1
B.Meanchey,"2,015",cases,10,6,14,21,54,95,243,356,336,207,88,45
Battambang,"2,015",cases,5,4,2,4,22,58,127,181,191,111,38,24
Kampong Cham,"2,015",cases,11,11,23,20,135,306,479,496,295,126,78,52
Kg.Chhnang,"2,015",cases,1,3,4,6,17,69,171,223,129,36,24,15
KampongSpeu,"2,015",cases,5,3,12,11,15,35,90,82,70,56,29,12
KampongThom,"2,015",cases,17,4,10,13,40,93,276,383,184,74,56,67
Kampot,"2,015",cases,0,0,0,2,5,9,10,14,12,14,9,12
Kandal,"2,015",cases,36,12,13,37,82,125,270,301,330,315,263,116
Koh Kong,"2,015",cases,0,0,0,0,1,0,3,5,4,1,6,1
Kratie,"2,015",cases,0,1,0,4,15,27,57,73,19,7,11,5
MondulKiri,"2,015",cases,2,0,1,1,0,0,4,11,4,2,0,0
Phnom Penh,"2,015",cases,26,24,13,21,38,64,99,122,146,247,297,212
PreahVihear,"2,015",cases,1,0,2,0,8,27,57,71,60,18,18,13
PreyVeng,"2,015",cases,17,7,10,6,25,55,89,131,74,83,51,44
Pursat,"2,015",cases,0,0,0,1,0,0,5,5,7,4,2,2
RattanaKiri,"2,015",cases,1,1,0,2,0,3,3,7,0,1,2,0
Siem Reap,"2,015",cases,26,15,27,35,77,162,483,944,783,413,192,126
