"year_range","mid_year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
"2004-2008",2006,0.347655577026941,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2005-2009",2007,0.316764109363766,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2006-2010",2008,0.288260625347225,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2007-2011",2009,0.263737883516154,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2008-2012",2010,-0.059026809447949,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2009-2013",2011,-0.0733386882110741,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2010-2014",2012,-0.0246335616374384,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2011-2015",2013,-0.0246085575566473,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2012-2016",2014,0.156013958686995,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2013-2017",2015,0.204153027472904,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2014-2018",2016,0.367660577728189,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2015-2019",2017,0.608996762623381,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2016-2020",2018,0.603174390010304,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2002-2006",2004,0.133016497300799,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2003-2007",2005,0.818260262716047,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2004-2008",2006,0.860356121340635,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2005-2009",2007,0.788818945299286,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2006-2010",2008,0.744753696658961,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2007-2011",2009,0.730047365650616,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2008-2012",2010,0.319078354448584,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2009-2013",2011,0.276034775307783,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2010-2014",2012,0.323161326340017,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2011-2015",2013,0.313019695706398,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2012-2016",2014,0.298422984615668,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2013-2017",2015,0.30084778409809,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2014-2018",2016,0.165043033424739,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2015-2019",2017,0.660923018365757,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2016-2020",2018,0.681821878313492,"Koh Kong","Siem Reap",0.531267957813721,216827.060268508,216.827060268508,143492.063353842,143.492063353842
"2002-2006",2004,0.254459801841332,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2003-2007",2005,0.109040309015504,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2004-2008",2006,0.651078196483852,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2005-2009",2007,0.601108370756265,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2006-2010",2008,0.363424151422497,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2007-2011",2009,0.304739540916049,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2008-2012",2010,0.129155138952825,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2009-2013",2011,0.166871036326825,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2010-2014",2012,0.190079469887143,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2011-2015",2013,0.168870869419837,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2012-2016",2014,0.195913239874741,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2013-2017",2015,0.25242669827662,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2014-2018",2016,0.0226063803429914,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2015-2019",2017,0.389309437376685,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2016-2020",2018,0.370009901502029,"Koh Kong","Stung Treng",0.271569337229233,390817.39047028,390.81739047028,143492.063353842,143.492063353842
"2002-2006",2004,0.0778188896684991,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2003-2007",2005,0.72261445551499,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2004-2008",2006,0.722106953437528,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2005-2009",2007,0.725485495202184,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2006-2010",2008,0.659460310279358,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2007-2011",2009,0.683203377089133,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2008-2012",2010,0.494094202314465,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2009-2013",2011,0.293086123843949,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2010-2014",2012,0.327581178499109,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2011-2015",2013,0.361218335578855,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2012-2016",2014,0.387425130096377,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2013-2017",2015,0.0943483107771143,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
