"year","lambda","N_sero","llik","convergence","provname"
2009,0.114278123703125,2,2764.32281469169,1,"Otdar Meanchey"
2010,0.0862999755983774,2,2764.32281469169,1,"Otdar Meanchey"
2011,0.0468777905613115,2,2764.32281469169,1,"Otdar Meanchey"
2012,0.0719569147595178,2,2764.32281469169,1,"Otdar Meanchey"
2013,0.0909765017705829,2,2764.32281469169,1,"Otdar Meanchey"
2014,0.0351517025476452,2,2764.32281469169,1,"Otdar Meanchey"
2015,0.0577133095686754,2,2764.32281469169,1,"Otdar Meanchey"
2016,0.0483658597315516,2,2764.32281469169,1,"Otdar Meanchey"
2017,0.03088610610206,2,2764.32281469169,1,"Otdar Meanchey"
2018,0.0387322173226814,2,2764.32281469169,1,"Otdar Meanchey"
2019,0.0648913358827012,2,2764.32281469169,1,"Otdar Meanchey"
2020,0.0201913444774116,2,2764.32281469169,1,"Otdar Meanchey"
1996,7.89901988612997e-06,2,907.164599373769,0,"Pailin"
1997,4.42196836579851e-07,2,907.164599373769,0,"Pailin"
1998,9.92131914637957e-06,2,907.164599373769,0,"Pailin"
1999,0.14102116914758,2,907.164599373769,0,"Pailin"
2000,0.0688893785865378,2,907.164599373769,0,"Pailin"
2001,0.100557669207411,2,907.164599373769,0,"Pailin"
2002,0.111176163200013,2,907.164599373769,0,"Pailin"
2003,7.26279570979267e-05,2,907.164599373769,0,"Pailin"
2004,0.110519852915687,2,907.164599373769,0,"Pailin"
2005,0.112141767867633,2,907.164599373769,0,"Pailin"
